Index#,Composition,a,b,c,v,b1,b2,b3,l1,p1,i1,e1,v1,c1,l2,p2,i2,e2,v2,c2,l3,p3,i3,e3,v3,c3,d1,d2,d3,a1,a2,a3,d4,d5,d6,a4,a5,a6,d7,d8,d9,a7,d0,EA (eV),S/U
1,CaSb,11.62687,6.46259,5.26405,395.539016,1.137656667,2.454346667,3.229306667,2.2608,14.9851,0.03025,1.02,64.4792,5.6586,2.3576,16.861,0.02552,1.0247,86.3946,5.8384,1.9032,3.4329,0.00344,1.0203,88.6774,3.9984,3.51755,2.97993,3.19764,94.386,87.8402,58.2607,3.62936,3.47918,3.47918,118.9906,127.1257,118.082,4.1903,7.0351,8.18691,118.5703,5.95987,,
2,MgP,10.13702,5.8889,4.68563,279.712764,1.087786667,2.1352,3.092736667,2.1329,12.2219,0.01197,1.0389,131.5363,5.9637,2.094,11.6914,0.02411,1.0318,111.3192,5.8466,1.5565,1.9212,0.00795,1.0049,21.5791,3.9888,3.17598,2.63413,2.75644,94.7527,88.7171,55.7056,3.25094,3.62399,3.24298,129.2074,122.4939,122.1975,3.80385,6.35196,7.03351,115.3709,5.26825,0.30302,S
3,SrP,10.55742,7.03549,4.75379,353.095726,1.075486667,2.52515,3.05833,2.1885,13.0821,0.07214,1.0517,135.963,4.6026,2.5279,18.2985,0.02776,1.1157,376.7534,5.8036,1.5612,1.9486,0.00378,1.0014,6.2271,3.9973,3.58789,2.56014,3.2084,101.1944,90.6327,60.1872,3.25235,3.34836,3.62616,104.5384,124.0209,130.3526,4.33378,7.17579,6.69671,113.9366,5.12029,,
4,SrSb,12.11529,6.77133,5.30092,434.869583,1.13361,2.5144,3.120123333,2.2831,15.4946,0.0099,1.0161,59.1296,5.9726,2.511,19.9022,0.02656,1.0408,141.3201,5.8219,1.9039,3.4491,0.00327,1.0179,77.6745,3.9984,3.67285,2.95617,3.35945,96.7898,88.3801,59.7398,3.69409,4.26882,3.58217,115.1795,127.9234,119.3686,4.32413,7.3457,8.30645,118.2569,5.91234,,
5,CaAs,11.28824,6.44775,4.98638,362.927186,1.111806667,2.449023333,3.048806667,2.2153,13.9951,0.01214,1.0239,86.0631,5.9615,2.3478,16.3607,0.02479,1.0368,128.8218,5.8546,1.7198,2.5767,0.00616,1.0088,38.5082,3.994,3.50535,2.78001,3.07254,98.319,88.2465,57.1383,3.50633,3.96913,3.4653,120.9256,124.8805,122.2906,4.11624,7.01071,7.67561,116.6126,5.56002,,
6,CaP,10.85864,6.42369,4.77908,333.352597,1.09653,2.432213333,3.08757,2.1798,13.0671,0.03396,1.0389,128.5948,5.7152,2.3392,15.7867,0.02243,1.0538,185.3082,5.8838,1.5576,1.9302,0.00723,1.0032,14.229,3.9906,3.43908,2.64294,2.98655,98.9373,89.7851,57.0295,3.37715,3.87916,3.42585,121.5358,123.1841,125.7932,4.05391,6.87815,7.23532,114.383,5.28588,,
7,MgAs,10.46214,5.95601,4.88628,304.476936,1.105566667,2.15061,3.115843333,2.1667,13.0199,0.02798,1.0287,93.2254,5.7385,2.1077,12.1281,0.02688,1.0203,70.1525,5.8089,1.7204,2.5645,0.0062,1.0127,55.1448,3.9937,3.23052,2.78202,2.86409,93.2266,87.4048,56.3012,3.36546,3.72804,3.28064,126.5651,124.7801,119.7037,3.88458,6.46105,7.39044,117.4847,5.56403,0.17053,S
8,SrAs,11.54122,6.86559,5.01782,397.598515,1.107516667,2.510103333,2.97834,2.2405,14.4609,0.03137,1.0258,85.8489,5.7194,2.5051,19.272,0.02501,1.0583,196.6171,5.8497,1.7208,2.5906,0.00557,1.0064,27.7272,3.9952,3.64342,2.75199,3.25064,100.2769,89.3349,59.1563,3.53241,4.16923,3.60299,114.4259,126.1533,124.7478,4.29845,7.28684,7.60929,116.2306,5.50399,,
9,CeGe,11.31293,6.77051,5.10489,391.005125,1.143696667,4.02489,3.03329,2.2544,14.865,0.01339,1.0186,68.0648,5.957,2.4213,17.6976,0.02456,1.0464,159.1748,5.8553,1.7923,2.9015,0.01152,1.0123,53.5266,3.9803,3.57518,2.80946,3.25224,98.3284,87.4999,59.8234,3.46854,4.13879,3.58428,112.8112,127.9331,123.0913,4.28476,7.15035,7.60304,116.7866,5.61893,0.56339,S
10,CeSi,10.26729,7.03422,4.76818,344.369156,1.09054,4.008503333,2.902336667,2.1768,13.1209,0.05975,1.0372,96.0416,4.5803,2.463,16.8316,0.03037,1.12,388.8824,5.7748,1.6449,2.2726,0.0041,1.0034,14.2192,3.9966,3.5339,2.55478,3.20256,101.5186,88.7573,60.9823,3.17266,4.06697,3.62925,102.096,125.9814,129.1125,4.33863,7.06779,6.57148,115.5539,5.10956,,
